activityType,AGENCY,activityDate,LEGEND,Charge_Description,BLOCK_ADDRESS,City_Name,ZipCode
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 0:01,FRAUD,FRAUD,9600  BLOCK SUNSET AVENUE,,91941
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 0:01,THEFT/LARCENY,PETTY THEFT,4600  BLOCK DEHESA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 0:01,FRAUD,FRAUD,1600  BLOCK MIRAGE COURT,,92019
ARREST,"San Diego County Sheriff, CA",1/1/2008 3:20,DRUGS/ALCOHOL VIOLATIONS,POSSESS CONTROLLED SUBSTANCE,1200  BLOCK VICTOR AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 6:00,FRAUD,FRAUD,11900  BLOCK CAMPO ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,ASSAULT,LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F),300 E  BLOCK BRADLEY AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,FRAUD,FRAUD,2100  BLOCK BAUTISTA AVENUE,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,FRAUD,FRAUD,2200  BLOCK LA CRESTA ROAD,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,THEFT/LARCENY,PETTY THEFT,13600  BLOCK PASEO DEL MAR,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,FRAUD,FRAUD,17700  BLOCK SAN PASQUAL VALLEY ROAD,,92025
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,FRAUD,FRAUD,700  BLOCK SUNRISE EAST DRIVE,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,3500  BLOCK EMMA LANE,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 16:08,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,5400  BLOCK CASINO WAY,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 17:00,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,1000  BLOCK GREENFIELD DRIVE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 18:10,ASSAULT,THREATEN CRIME WITH INTENT TO TERRORIZE,3300  BLOCK LAKE VIEW TERRACE,,92029
CITATION,"San Diego County Sheriff, CA",1/1/2008 21:25,DRUGS/ALCOHOL VIOLATIONS,POSSESS MARIJUANA 28.5 GRAMS OR LESS OR W/NO PRIOR,1500  BLOCK HILTON HEAD ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 21:30,ASSAULT,BATTERY ON PERSON,1700  BLOCK SUNBURST DRIVE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 4:00,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,0  BLOCK TIFTON COURT,,
ARREST,"San Diego County Sheriff, CA",1/2/2008 9:11,WEAPONS,POSS/SELL SWITCH BLADE KNIFE,3800  BLOCK BUENA CREEK ROAD,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 11:06,THEFT/LARCENY,PETTY THEFT,100  BLOCK FRANCES DRIVE,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 12:00,BURGLARY,COMMERCIAL BURGLARY,4700  BLOCK DIVINE WAY,,91941
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 15:00,ASSAULT,ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE,500  BLOCK VALLEY DRIVE,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 15:50,ASSAULT,CAUSE GREAT BODILY HARM/DEATH OF ELDER/DEPENDENT ADULT,100  BLOCK CALLE DEL RANCHO,,92025
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 16:30,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,5400  BLOCK DEHESA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 16:30,BURGLARY,COMMERCIAL BURGLARY,8300  BLOCK NELSON WAY,,92026
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 16:45,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,15800  BLOCK HIGHLAND VALLEY ROAD,,92025
CITATION,"San Diego County Sheriff, CA",1/2/2008 17:00,DRUGS/ALCOHOL VIOLATIONS,POSSESS MARIJUANA 28.5 GRAMS OR LESS OR W/PRIOR,800  BLOCK BAY MARINA   ,,
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 17:00,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,12300  BLOCK CALLE ALBARA,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 18:30,BURGLARY,COMMERCIAL BURGLARY,12300  BLOCK CALLE ALBARA,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 20:30,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,13400  BLOCK CAM CANADA,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/2/2008 22:00,ROBBERY,RESIDENTIAL ROBBERY - NO WEAPON,1600  BLOCK STONEHAVEN COURT,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/3/2008 1:00,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,2400  BLOCK HILTON HEAD PLACE,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/3/2008 5:30,BURGLARY,RESIDENTIAL BURGLARY,200  BLOCK HART DRIVE,,92021
ARREST,"San Diego County Sheriff, CA",1/3/2008 8:00,DRUGS/ALCOHOL VIOLATIONS,USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,13400  BLOCK CAM CANADA,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/3/2008 10:15,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,21100  BLOCK QUESTHAVEN ROAD,,92029
CRIME CASE,"San Diego County Sheriff, CA",1/3/2008 11:45,ASSAULT,BATTERY W/SERIOUS BODILY INJURY,100 W  BLOCK BRADLEY AVENUE,,92020
CRIME CASE,"San Diego County Sheriff, CA",1/3/2008 12:12,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,9100  BLOCK WISTER DRIVE,,91941
CRIME CASE,"San Diego County Sheriff, CA",1/3/2008 12:30,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,2400  BLOCK HILTON HEAD PLACE,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/3/2008 15:56,BURGLARY,COMMERCIAL BURGLARY,13400  BLOCK CAM CANADA,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/3/2008 19:45,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,400 E  BLOCK BRADLEY AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/3/2008 20:30,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,8400  BLOCK EAST COUNTY DRIVE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/3/2008 21:00,VANDALISM,VANDALISM (LESS THAN $400),8800  BLOCK LAWRENCE WELK DRIVE,,92026
ARREST,"San Diego County Sheriff, CA",1/4/2008 2:19,DUI,DUI ALCOHOL AND/OR DRUGS,RIO MARIA ROAD / SCRIPPS POWAY PARKWAY,,
CRIME CASE,"San Diego County Sheriff, CA",1/4/2008 8:00,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,26300  BLOCK MESA ROCK ROAD,,92026
CRIME CASE,"San Diego County Sheriff, CA",1/4/2008 11:30,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,300 E  BLOCK BRADLEY AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/4/2008 14:40,ASSAULT,ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE,800 S  BLOCK 02ND STREET,,92019
ARREST,"San Diego County Sheriff, CA",1/4/2008 14:49,DRUGS/ALCOHOL VIOLATIONS,USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,1700  BLOCK YORK DRIVE,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/4/2008 15:00,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,2000  BLOCK JAMACHA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/4/2008 16:00,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,400 E  BLOCK BRADLEY AVENUE,,92021
CITATION,"San Diego County Sheriff, CA",1/4/2008 16:15,DRUGS/ALCOHOL VIOLATIONS,POSSESS MARIJUANA 28.5 GRAMS OR LESS OR W/NO PRIOR,1100  BLOCK CROSBY STREET,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/4/2008 16:30,ASSAULT,BATTERY WITH SERIOUS BODILY INJURY,1900  BLOCK SIESTA CALLE,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/4/2008 17:00,ROBBERY,OTHER ROBBERY - WEAPON USED,2800  BLOCK JAMACHA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/4/2008 18:10,BURGLARY,COMMERCIAL BURGLARY,2300  BLOCK JAMACHA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/4/2008 21:35,VANDALISM,VANDALISM (LESS THAN $400),29600  BLOCK NANDINA DRIVE,,92026
ARREST,"San Diego County Sheriff, CA",1/4/2008 22:49,DRUGS/ALCOHOL VIOLATIONS,DISORDERLY CONDUCT:  ALCOHOL,2900  BLOCK JAMACHA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/5/2008 2:00,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,15400  BLOCK OLDE HIGHWAY 80,,92021
ARREST,"San Diego County Sheriff, CA",1/5/2008 3:32,DRUGS/ALCOHOL VIOLATIONS,DISORDERLY CONDUCT:  ALCOHOL,12600  BLOCK WIEGHORST WAY,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/5/2008 7:30,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,13500  BLOCK CAM CANADA,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/5/2008 10:30,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,12300  BLOCK CALLE ALBARA,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/5/2008 15:10,THEFT/LARCENY,PETTY THEFT W/PRIOR JAIL TERM FOR SPECIFIC OFFENSES,13400  BLOCK CAM CANADA,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/5/2008 16:00,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,2600  BLOCK SUNSET HILLS,,92025
CRIME CASE,"San Diego County Sheriff, CA",1/5/2008 17:00,BURGLARY,RESIDENTIAL BURGLARY,1500  BLOCK VIA PALOMA,,92026
CRIME CASE,"San Diego County Sheriff, CA",1/5/2008 17:30,BURGLARY,COMMERCIAL BURGLARY,2200 S  BLOCK SANTA FE AVENUE,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/5/2008 18:48,ASSAULT,BATTERY ON PERSON,10900  BLOCK CALLE VERDE,,91941
CRIME CASE,"San Diego County Sheriff, CA",1/5/2008 19:30,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,11500  BLOCK FURY LANE,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/5/2008 20:00,THEFT/LARCENY,PETTY THEFT,2300  BLOCK EUCLID AVENUE,,92019
ARREST,"San Diego County Sheriff, CA",1/5/2008 21:10,DRUGS/ALCOHOL VIOLATIONS,DISORDERLY CONDUCT:  ALCOHOL,1100  BLOCK SUMNER AVENUE,,92021
ARREST,"San Diego County Sheriff, CA",1/6/2008 10:00,DRUGS/ALCOHOL VIOLATIONS,USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,8500  BLOCK RANCHO CANADA ROAD,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/6/2008 15:30,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,2400  BLOCK HILTON HEAD PLACE,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/6/2008 22:00,BURGLARY,RESIDENTIAL BURGLARY,10500  BLOCK ASPEN GLEN,,92026
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 0:00,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,100  BLOCK SCOTTFORD DRIVE,,92021
ARREST,"San Diego County Sheriff, CA",1/7/2008 6:15,DRUGS/ALCOHOL VIOLATIONS,USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,2400  BLOCK JAMACHA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 8:02,ASSAULT,EXHIBIT DEADLY WEAPON (OTHER THAN FIREARM),27100 N  BLOCK BROADWAY,,92026
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 11:30,BURGLARY,RESIDENTIAL BURGLARY,2200  BLOCK BUENA CREEK ROAD,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 14:30,SEX CRIMES,OTHER SEX CRIME,2200  BLOCK BOSNA PLACE,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 16:55,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,13400  BLOCK CAM CANADA,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 16:56,ROBBERY,STREET ROBBERY - NO WEAPON,2500  BLOCK JAMACHA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 17:00,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,8800  BLOCK LAWRENCE WELK DRIVE,,92026
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 19:15,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,1700  BLOCK SUMMERTIME DRIVE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 20:00,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,2600  BLOCK SAWGRASS STREET,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 20:15,ASSAULT,ASSAULT W/DEADLY WEAPON OTHER THAN FIREARM OR GBI FORCE,2400  BLOCK JAMACHA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 20:30,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,10800  BLOCK CALLE VERDE,,91941
CRIME CASE,"San Diego County Sheriff, CA",1/7/2008 21:25,BURGLARY,RESIDENTIAL BURGLARY,10500  BLOCK ASPEN GLEN,,92026
ARREST,"San Diego County Sheriff, CA",1/8/2008 11:51,DRUGS/ALCOHOL VIOLATIONS,POSS CONTRL SUB PARAPHERNALIA,700 E  BLOCK BRADLEY AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/8/2008 14:30,VANDALISM,VANDALISM ($400 OR MORE),1800  BLOCK SUNSET DRIVE,,92081
ARREST,"San Diego County Sheriff, CA",1/8/2008 14:45,DRUGS/ALCOHOL VIOLATIONS,DISORDERLY CONDUCT:  ALCOHOL,8800  BLOCK LAWRENCE WELK DRIVE,,92026
CRIME CASE,"San Diego County Sheriff, CA",1/8/2008 15:00,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,300  BLOCK HART DRIVE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/8/2008 17:00,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,2400  BLOCK JAMACHA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/8/2008 17:25,ASSAULT,BATTERY ON NONCOHABITATING FORMER SPOUSE,12500  BLOCK CAMPO ROAD,,91978
CRIME CASE,"San Diego County Sheriff, CA",1/8/2008 22:30,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,200  BLOCK SMILAX ROAD,,92069
ARREST,"San Diego County Sheriff, CA",1/9/2008 3:09,DRUGS/ALCOHOL VIOLATIONS,USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,2600  BLOCK FOOTHILL DRIVE,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/9/2008 10:00,VANDALISM,VANDALISM (LESS THAN $400),CAMPO ROAD / JAMACHA ROAD,,
CRIME CASE,"San Diego County Sheriff, CA",1/9/2008 15:37,THEFT/LARCENY,PETTY THEFT,2300  BLOCK JAMACHA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/9/2008 20:23,THEFT/LARCENY,PETTY THEFT,13400  BLOCK CAM CANADA,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/9/2008 21:00,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,1600  BLOCK BEAR VALLEY PARKWAY,,92027
CRIME CASE,"San Diego County Sheriff, CA",1/9/2008 21:00,VANDALISM,VANDALISM (LESS THAN $400),10600  BLOCK ASPEN GLEN,,92026
CRIME CASE,"San Diego County Sheriff, CA",1/9/2008 22:00,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,1400  BLOCK GRAVES AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/9/2008 22:30,VANDALISM,VANDALISM ($400 OR MORE),1300  BLOCK CAM LINDA DRIVE,,92078
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 0:30,ASSAULT,BATTERY ON NONCOHABITATING FORMER SPOUSE,1300 N  BLOCK 01ST STREET,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 10:47,ROBBERY,COMMERCIAL ROBBERY - NO WEAPON,2900  BLOCK JAMACHA ROAD,,92019
ARREST,"San Diego County Sheriff, CA",1/10/2008 11:43,DRUGS/ALCOHOL VIOLATIONS,DISORDERLY CONDUCT:  ALCOHOL,900 N  BLOCK ANZA STREET,,92021
ARREST,"San Diego County Sheriff, CA",1/10/2008 11:59,DRUGS/ALCOHOL VIOLATIONS,DISORDERLY CONDUCT:  ALCOHOL,900 N  BLOCK ANZA STREET,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 12:00,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,700 E  BLOCK BRADLEY AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 14:06,BURGLARY,COMMERCIAL BURGLARY,3600  BLOCK AVOCADO BOULEVARD,,91941
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 14:18,BURGLARY,COMMERCIAL BURGLARY,700 E  BLOCK BRADLEY AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 16:50,THEFT/LARCENY,BURGLARY/UNSPECIFIED,2500  BLOCK JAMACHA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 18:30,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,9600  BLOCK SAGE HILL WAY,,92026
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 18:50,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,6000  BLOCK DEHESA ROAD,,92019
ARREST,"San Diego County Sheriff, CA",1/10/2008 18:55,DRUGS/ALCOHOL VIOLATIONS,SELL/ETC LIQUOR TO MINOR,1400  BLOCK GRAVES AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 21:38,BURGLARY,RESIDENTIAL BURGLARY,5400  BLOCK SYCUAN ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 22:00,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,1400  BLOCK ROCK SPRINGS ROAD,,92026
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 22:44,ROBBERY,OTHER ROBBERY - WEAPON USED,500  BLOCK GREENFIELD DRIVE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/10/2008 23:30,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,700  BLOCK CHAPARRAL LANE,,92025
ARREST,"San Diego County Sheriff, CA",1/10/2008 23:41,DRUGS/ALCOHOL VIOLATIONS,DISORDERLY CONDUCT:  ALCOHOL,700 E  BLOCK BRADLEY AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/11/2008 0:01,FRAUD,FRAUD,19700  BLOCK LAKE DRIVE,,92029
CRIME CASE,"San Diego County Sheriff, CA",1/11/2008 0:01,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,13400  BLOCK CAM CANADA,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/11/2008 4:55,BURGLARY,COMMERCIAL BURGLARY,13700  BLOCK CAM CANADA,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/11/2008 12:00,FRAUD,FRAUD,1500  BLOCK SUNDALE ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/11/2008 16:30,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,12300  BLOCK CALLE ALBARA,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/11/2008 18:00,BURGLARY,RESIDENTIAL BURGLARY,1500  BLOCK CTE CAPRIANA,,92026
CRIME CASE,"San Diego County Sheriff, CA",1/11/2008 19:30,VEHICLE BREAK-IN/THEFT,VEHICLE BREAK-IN/THEFT,2400  BLOCK HIBISCUS AVENUE,,92081
CRIME CASE,"San Diego County Sheriff, CA",1/11/2008 21:00,MOTOR VEHICLE THEFT,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,500  BLOCK GREENFIELD DRIVE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/11/2008 21:40,BURGLARY,COMMERCIAL BURGLARY,14300  BLOCK OLDE HIGHWAY 80,,92021
